"Bus nach Schloss Linderhof ab ",,,"S 6.40 ",,,,,,,,,,,,"10.25 ","11.20 ","11.25 ",,,,"S 13.11 ",,"13.11 ",,,,"16.00",
"Oberammergau Bahnhof ab ","5.47 ",,"6.14 ","6.35 ",,,,"6.52 ",,,,"8.30 ",,,"10.25 ","11.20 ",,"11.20 ",,"12.27 ","12.50 ",,,"13.43 ",,"14.52 ","15.57 ","16.37"
"Unterammergau Rathaus ","5.51 ",,"6.18 ","6.39 ",,,,"6.56 ",,,,"8.34 ",,,"10.29 ","11.24 ",,"11.24 ",,"12.31 ","12.54 ",,,"13.47 ",,"14.56 ","16.01 ","16.41"
"Unterammergau Ammerbrücke ","5.53 ",,"6.20 ","6.41 ",,,,"6.58 ",,,,"8.36 ",,,"10.31 ","11.26 ",,"11.26 ",,"12.33 ","12.56 ",,,"13.49 ",,"14.58 ","16.03 ","16.43"
"Scherenau ","5.54 ",,"6.21 ","6.42 ",,,,"6.59 ",,,,"8.37 ",,,"10.32 ","11.27 ",,"11.27 ",,,"12.57 ",,,"13.50 ",,"14.59 ","16.04 ","16.44"
"Wurmansau ","5.55 ",,"6.22 ","6.43 ",,,,"7.00 ",,,,"8.38 ",,,"10.33 ","11.28 ",,"11.28 ",,,"12.58 ",,,"13.51 ",,"15.00 ","16.05 ","16.45"
"Altenau Abzw ","5.56 ",,"6.23 ","6.44 ",,,,"7.01 ",,,,"8.39 ",,,"10.34 ","11.29 ",,"11.29 ",,,,,,,,"15.01 ","16.06",
"Altenau Säge ",,,,,,,,,,,,,,,,,,,,,"13.01 ",,,"13.54 ",,,,"16.48"
"Saulgrub Bürgersaal ",,,,"6.47 ","6.49",,,,,,,,,,,,,,,,,,,,,,,
"Saulgrub Bahnhof ","5.59 ",,"6.26 ",,"6.50 ",,,"7.04 ",,,,"8.42 ",,,"10.36 ","11.32 ",,"11.32 ",,,"13.05 ",,,"13.58 ",,"15.03 ","16.09 ","16.52"
"Saulgrub Rathaus ",,,"6.27 ",,,,,,,,,,,,"10.37 ","11.33 ",,"11.33 ",,,"13.07 ",,,"14.00 ",,"Y 15.04 ",,"Y 16.53"
"Bad Kohlgrub Feuerwehrhaus ",,,"6.28 ",,,,,,,,,,,,"10.39 ","11.35 ",,"11.35 ",,,"13.09 ",,,"14.02 ",,"Y 15.06 ",,"Y 16.55"
"Bad Kohlgrub Rathaus ",,,"6.32 ",,,,,,,,,,,,"10.43 ","11.39 ",,"11.39 ",,,"13.13 ",,,"14.06 ",,"Y 15.10 ",,"Y 16.59"
"Bad Kohlgrub Feuerwehrhaus ",,,,,,,,,,,,,,,"10.45 ","11.41 ",,"11.41 ",,,"13.15 ",,,"14.08 ",,"Y 15.12 ",,"Y 17.01"
"Saulgrub Rathaus ",,,,,,,,,,,,,,,"10.46 ","11.42 ",,"11.42 ",,,"13.17 ",,,"14.10 ",,"Y 15.13 ",,"Y 17.02"
"Bad Bayersoien Eisplatz ","6.04 ",,,,"6.53 ","6.47 ",,"7.09 ",,,,"8.47 ",,,"10.50 ","11.46 ",,"11.46 ",,,"13.21 ",,,"14.14 ",,"Y 15.17 ","16.14 ","Y 17.06"
"Bad Bayersoien Gh. Weißes Roß ","6.06 ",,,,"6.56 ","6.49 ",,"7.11 ",,,,"8.49 ",,,"10.52 ","11.48 ",,"11.48 ",,,"13.23 ",,,"14.16 ",,"Y 15.19 ","16.16 ","Y 17.08"
"Bayersoien-Gschwendt ","6.07 ",,,,"6.57 ","6.50 ",,"7.12 ",,,,"8.50 ",,,"10.54 ","11.49 ",,"11.49 ",,,"13.24 ",,,"14.17 ",,,"16.17 ","17.10"
"Bayersoien-Echelsbach ","6.08 ",,,,"6.59 ","6.51 ",,"7.13 ",,,,"8.51 ",,,"10.55 ","11.50 ",,"11.50 ",,,"13.25 ",,,"14.18 ",,,"16.18 ","17.11"
"Echelsbacher Brücke an ","6.10 ",,,,"7.01 ","6.52 ",,"Ù 7.15 ",,,,"8.55 ",,,"10.56 ","11.51 ",,"11.51 ",,,"13.27 ",,,"14.20 ",,,"16.22 ","17.13"
"Anschlußhinweis",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bus nach Schongau ab ","7.00 ",,,,"7.02 ","7.00 ",,"7.15 ",,,,"9.00 ",,,,"11.52 ",,"11.52 ",,,"S 13.50 ",,,"14.20 ",,,"F 16.30",
"Bus nach Weilheim ab ","6.11 ",,,,,"6.58 ",,,,,,"9.00 ",,,,"12.35 ",,"12.35 ",,,,,,"S 14.20 ",,,"S 17.00 ","17.15"
"Echelsbacher Brücke ab ",,"6.18 ",,,,,,,,,,,,"9.00 ","10.56 ",,,,"11.55 ",,,"13.46 ",,"14.20",,,,
"Rottenbuch Alte Post",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wieskirche ",,,,,,,,,,,,,"Y ","9.10 ","11.06 ",,,,,,,"13.58 ",,"14.42 ","15.00",,,
"Steingaden Feuerwehrhaus ",,"6.35 ",,,,,,,,,,,,"9.20 ","11.16 ",,,,"12.10 ",,,"14.06 ",,"14.33 ","15.10",,,
"Füssen Bahnhof an ",,"7.23 ",,,,,,,,,,,,"9.59 ","11.55 ",,,,"12.52 ",,,"14.51 ",,,"15.45",,,
,,"Montag - Freitag ",,,,,,,,,"Samstag ",,,,,,,,,,,"Sonn- und Feiertag",,,
"Linie ","9606 ","73 9606 9606 ","9606 ","9606 ","9606 ","9606 ",,"73 ","9606 ","9606 ","9606 9606 ","9651 ","9606 ","9606 ","9606 ","73 ","9606 ","9606 ",,"73 ","9606 ","9606 9606 9606 ","9606 ","73 ","9606"
"Fahrtnummer ","033 ","028 035 039 ","041 ","603 ","607 ","611 ",,"618 ","615 ","617 ","653 623 ","613 ","625 ","631 ","633 ","628 ","639 ","711 ",,"718 ","715 ","723 725 731 ","733 ","728 ","739"
"Haltestellen ",,,,"˛ ",,,,,,,"˛ ",,"99 ",,"G ","G ","G",,,,,,,,
"Garmisch-Partenkirchen Bahnhof ab ","16.50 ","17.40 18.20 ","19.30 ","5.45 ","7.00 ","7.50 ",,,"9.40 ","11.15 ","12.10 ",,"13.30 ","15.20 ","16.45 ",,"18.40 ","7.50 ",,,"9.40 ","12.15 13.30 15.20 ","16.45 ",,"18.40"
"Partenkirchen Werdenfelser Pl. ","16.53 ","17.43 18.23 ","19.33 ","5.48 ","7.03 ","7.53 ",,,"9.43 ","11.18 ","12.13 ",,"13.33 ","15.23 ","16.48 ",,"18.43 ","7.53 ",,,"9.43 ","12.18 13.33 15.23 ","16.48 ",,"18.43"
"Partenkirchen Friedhof ","16.55 ","17.45 18.25 ","19.35 ","5.50 ","7.05 ","7.55 ",,,"9.45 ","11.20 ","12.15 ",,"13.35 ","15.25 ","16.50 ",,"18.45 ","7.55 ",,,"9.45 ","12.20 13.35 15.25 ","16.50 ",,"18.45"
"Partenkirchen Loisachauen ","16.57 ","17.47 18.27 ","19.37 ","5.52 ","7.07 ","7.57 ",,,"9.47 ","11.22 ","12.17 ",,"13.37 ","15.27 ","16.52 ",,"18.47 ","7.57 ",,,"9.47 ","12.22 13.37 15.27 ","16.52 ",,"18.47"
"Farchant Maibaum ","17.00 ","17.50 18.30 ","19.40 ","5.55 ","7.10 ","8.00 ",,,"9.50 ","11.25 ","12.20 ",,"13.40 ","15.30 ","16.55 ",,"18.50 ","8.00 ",,,"9.50 ","12.25 13.40 15.30 ","16.55 ",,"18.50"
"Oberau Bahnhof an ","17.04 ","17.54 18.34 ","19.44 ","5.59 ","7.14 ","8.04 ",,,"9.54 ","11.29 ","12.24 ",,"13.44 ","15.34 ","16.59 ",,"18.54 ","8.04 ",,,"9.54 ","12.29 13.44 15.34 ","16.59 ",,"18.54"
"Anschlußhinweis",,,,,,,,,,,,,,,,,,,,,,,,,
"Zug aus München an ","16.45 ","17.45 18.29 ","19.29 ",,"6.45 ","7.45 ",,,"9.45 ","10.46 ","11.45 ",,,,"16.45 ",,"18.45 ","7.45 ",,,"9.45 ","11.45 ","16.45 ",,"18.45"
"Oberau Bahnhof ab ","17.04 ","17.54 18.35 ","19.44 ","5.59 ","7.15 ","8.04 ",,,"9.58 ","11.30 ","12.25 ",,"13.45 ","15.35 ","17.00 ",,"18.55 ","8.04 ",,,"9.58 ","12.30 13.45 15.35 ","17.00 ",,"18.55"
"Oberau Untermberg ","17.06 ","17.56 18.37 ","19.46 ","6.01 ","7.17 ","8.06 ",,,"10.00 ","11.32 ","12.27 ",,"13.47 ","15.37 ","17.02 ",,"18.57 ","8.06 ",,,"10.00 ","12.32 13.47 15.37 ","17.02 ",,"18.57"
"Ettal am Berg ","17.12 ","18.02 18.43 ","19.52 ","6.07 ","7.23 ","8.12 ",,,"10.06 ","11.38 ","12.33 ",,"13.53 ","15.43 ","17.08 ",,"19.03 ","8.12 ",,,"10.06 ","12.38 13.53 15.43 ","17.08 ",,"19.03"
"Ettal Klostergasthof ","17.14 ","18.04 18.45 ","19.54 ","6.09 ","7.25 ","8.14 ",,,"10.08 ","11.40 ","12.15 12.35 ",,"13.55 ","15.45 ","17.10 ",,"19.05 ","8.14 ",,,"10.08 ","12.40 13.55 15.45 ","17.10 ",,"19.05"
"Anschlußhinweis",,,,,,,,,,,,,,,,,,,,,,,,,
"Bus nach Schloss Linderhof ab ",,,,,,,,,"10.47 ",,,,,,,,,,,,"10.47",,,,
"Ettal Abzw. Zieglerhof ab ","17.15 ","18.05 18.46 ","19.55 ","6.10 ","7.26 ","8.15 ",,,"10.09 ","11.41 ","12.16 12.36 ",,"13.56 ","15.46 ","17.11 ",,"19.06 ","8.15 ",,,"10.09 ","12.41 13.56 15.46 ","17.11 ",,"19.06"
"Oberammergau Hexenstube",,,,,,,,,,,,,,,,,,,,,,,,,
"Oberammergau Rainenbichl ","17.20 ","18.10 18.51 ","20.00 ","6.15 ","7.31 ","8.20 ",,,"10.14 ","11.46 ","12.21 12.41 ",,"14.01 ","15.51 ","17.16 ",,"19.11 ","8.20 ",,,"10.14 ","12.46 14.01 15.51 ","17.16 ",,"19.11"
"Oberammergau Nato-Schule ","17.21 ","18.11 18.52 ","20.01 ","6.16 ","7.32 ","8.21 ",,,"10.15 ","11.47 ","12.22 12.42 ",,"14.02 ","15.52 ","17.17 ",,"19.12 ","8.21 ",,,"10.15 ","12.47 14.02 15.52 ","17.17 ",,"19.12"
"Oberammergau Aufackerstraße ","17.22 ","18.12 18.53 ","20.02 ","6.17 ","7.33 ","8.22 ",,,"10.16 ","11.48 ","12.23 12.43 ",,"14.03 ","15.53 ","17.18 ",,"19.13 ","8.22 ",,,"10.16 ","12.48 14.03 15.53 ","17.18 ",,"19.13"
"Oberammergau Tiroler Gasse ","17.25 ","18.15 18.56 ","20.05 ","6.20 ","7.36 ","8.25 ",,,"10.19 ","11.51 ","12.26 12.46 ",,"14.06 ","15.56 ","17.21 ",,"19.16 ","8.25 ",,,"10.19 ","12.51 14.06 15.56 ","17.21 ",,"19.16"
"Oberammergau Eugen-Papst-Str. ","17.27 ","18.17 18.58 ","20.07 ","6.22 ","7.38 ","8.27 ",,,"10.21 ","11.53 ","12.28 12.48 ",,"14.08 ","15.58 ","17.23 ",,"19.18 ","8.27 ",,,"10.21 ","12.53 14.08 15.58 ","17.23 ",,"19.18"
"Oberammergau Bahnhof an ","17.29 ","Y 18.19 19.00 ","20.09 ","6.24 ","7.40 ","8.29 ",,,"10.23 ","11.55 ","12.30 12.50 ",,"14.10 ","16.00 ","17.25 ",,"19.20 ","8.29 ",,,"10.23 ","12.55 14.10 16.00 ","17.25 ",,"19.20"
"Anschlußhinweis",,,,,,,,,,,,,,,,,,,,,,,,,
"Zug nach Murnau ab ","17.39 ","18.39 19.39 ","20.39 ","6.44 ",,"8.39 ",,,"10.39 ","12.39 ","12.39 ",,"14.39 ","16.39 ","17.39 ",,"19.39 ","8.39 ",,,"10.39 ","14.39 16.39 ","17.39 ",,"19.39"
"Bus nach Schloss Linderhof ab ",,"S 18.30 ",,,,,,,"10.35 ",,"13.25 ",,"14.35 ","16.05 ",,,,,,,"10.35 ","13.25 14.35 16.05",,,
"Oberammergau Bahnhof ab ","17.30 ","Y 18.19 ",,"6.24 ",,"8.29 ",,,"10.25 ",,"12.35 12.55 ",,"14.15 ",,"17.27 ",,,"8.29 ",,,"10.25 ","13.00 14.15 ","17.27",,
"Unterammergau Rathaus ","17.34 ","Y 18.23 ",,"6.28 ",,"8.33 ",,,"10.29 ",,"12.39 12.59 ",,"14.19 ",,"17.31 ",,,"8.33 ",,,"10.29 ","13.04 14.19 ","17.31",,
"Unterammergau Ammerbrücke ","17.36 ","Y 18.25 ",,"6.30 ",,"8.35 ",,,"10.31 ",,"12.41 13.01 ",,"14.21 ",,"17.33 ",,,"8.35 ",,,"10.31 ","13.06 14.21 ","17.33",,
"Scherenau ","17.37 ",,,"6.31 ",,"8.36 ",,,"10.32 ",,"13.02 ",,"14.22 ",,"17.34 ",,,"8.36 ",,,"10.32 ","13.07 14.22 ","17.34",,
"Wurmansau ","17.38 ",,,"6.32 ",,"8.37 ",,,"10.33 ",,"13.03 ",,"14.23 ",,"17.35 ",,,"8.37 ",,,"10.33 ","13.08 14.23 ","17.35",,
"Altenau Abzw ","17.39 ",,,"6.33 ",,"8.38 ",,,"10.34 ",,"13.04 ",,"14.24 ",,"17.36 ",,,"8.38 ",,,"10.34 ","13.09 14.24 ","17.36",,
"Altenau Säge",,,,,,,,,,,,,,,,,,,,,,,,,
"Saulgrub Bürgersaal",,,,,,,,,,,,,,,,,,,,,,,,,
"Saulgrub Bahnhof ","17.42 ",,,"6.35 ",,"8.41 ",,,"10.36 ",,"13.07 ",,"14.27 ",,"17.39 ",,,"8.41 ",,,"10.36 ","13.12 14.27 ","17.39",,
"Saulgrub Rathaus ","17.43 ",,,,,"8.42 ",,,"10.37 ",,"13.08 ",,"14.28 ",,"17.40 ",,,"8.42 ",,,"10.37 ","13.13 14.28 ","17.40",,
"Bad Kohlgrub Feuerwehrhaus ","17.45 ",,,,,"8.43 ",,,"10.39 ",,"13.09 ",,"14.29 ",,"17.42 ",,,"8.43 ",,,"10.39 ","13.14 14.29 ","17.42",,
"Bad Kohlgrub Rathaus ","17.49 ",,,,,"8.47 ",,,"10.43 ",,"13.12 ",,"14.32 ",,"17.46 ",,,"8.47 ",,,"10.43 ","13.17 14.32 ","17.46",,
"Bad Kohlgrub Feuerwehrhaus ","17.51 ",,,,,"8.49 ",,,"10.45 ",,"13.14 ",,"14.34 ",,"17.48 ",,,"8.49 ",,,"10.45 ","13.19 14.34 ","17.48",,
"Saulgrub Rathaus ","17.52 ",,,,,"8.50 ",,,"10.46 ",,"13.15 ",,"14.35 ",,"17.49 ",,,"8.50 ",,,"10.46 ","13.20 14.35 ","17.49",,
"Bad Bayersoien Eisplatz ","17.57 ",,,"6.40 ",,"8.54 ",,,"10.50 ",,"13.19 ",,"14.39 ",,"17.54 ",,,"8.54 ",,,"10.50 ","13.24 14.39 ","17.54",,
"Bad Bayersoien Gh. Weißes Roß ","17.59 ",,,"6.42 ",,"8.56 ",,,"10.52 ",,"13.21 ",,"14.41 ",,"17.56 ",,,"8.56 ",,,"10.52 ","13.26 14.41 ","17.56",,
"Bayersoien-Gschwendt ","18.01 ",,,"6.43 ",,"8.57 ",,,"10.54 ",,"13.22 ",,"14.42 ",,"17.58 ",,,"8.57 ",,,"10.54 ","13.28 14.42 ","17.58",,
"Bayersoien-Echelsbach ","18.02 ",,,"6.44 ",,"8.58 ",,,"10.55 ",,"13.23 ",,"14.43 ",,"17.59 ",,,"8.58 ",,,"10.55 ","13.29 14.43 ","17.59",,
"Echelsbacher Brücke an ","18.04 ",,,"6.45 ",,"8.59 ",,,"10.56 ",,"Y 13.24 ",,"14.44 ",,"18.01 ",,,"8.59 ",,,"10.56 ","13.30 14.44 ","18.01",,
"Anschlußhinweis",,,,,,,,,,,,,,,,,,,,,,,,,
"Bus nach Schongau ab ","18.07 ",,,,,"9.05",,,,,,,,,,,,,,,,,,,
"Bus nach Weilheim ab ","18.10 ",,,,,,,,,,,,,,,,,"9.00 ",,,,"13.45",,,
"Echelsbacher Brücke ab ",,"18.08 ",,"6.45 ",,,,"9.00 ","10.56 ",,"Y 13.24 ","13.40 ","14.47 ",,,"18.08 ",,,,"9.00 ","10.56 ","13.40 ",,"18.08",
"Rottenbuch Alte Post ",,,,"6.48 ",,,,,,,"Y 13.27",,,,,,,,,,,,,,
"Wieskirche ",,,,,,,"Y ","9.10 ","11.06 ",,,"14.00 ","15.07 ",,,,,,"Y ","9.10 ","11.06 ","14.00",,,
"Steingaden Feuerwehrhaus ",,"18.19 ",,,,,,"9.20 ","11.16 ",,,"14.08 ","15.00 ",,,"18.19 ",,,,"9.20 ","11.16 ","14.08 ",,"18.19",
"Füssen Bahnhof an ",,"18.59 ",,,,,,"9.59 ","11.55 ",,,"14.55 ",,,,"18.59 ",,,,"9.59 ","11.55 ","14.55 ",,"18.59",
,,,,,,,,,,,,,,"Montag - Freitag",,,,,,,,,,,,
"Linie ","9651 ","9606 ","9606 ","9651 ","9606 ","9606 ","9606 ","9606 ","9606 ","9606 ",,"73 ","9606 ","9651 9606 9606 ","9606 ","9606 ","9606 ","9606 ","9606 ","9606 ","9606 ","9606 ","73 ","9606 ","9606 ","9606"
"Fahrtnummer ","002 ","002 ","904 ","036 ","036 ","004 ","048 ","008 ","006 ","010 ",,"017 ","012 ","010 114 141 ","014 ","016 ","116 ","948 ","046 ","028 ","928 ","024 ","021 ","030 ","040 ","032"
"Haltestellen ","S ",,"S ","S ","S ","S ","S ",,"˛ ",,,,,"F F ","S ","S ","F ","˛ ","S ",,"S ",,,,,
"Füssen Bahnhof 2 ab ","5.30 ",,,,,,,,,,,"8.05 ",,"9.45 ",,,,,,,,"12.45 ","14.05",,,
"Steingaden Feuerwehrhaus ","5.57 ",,,"6.16 ",,,,,,,,"8.44 ",,"10.16 ",,,,,,,,"13.25 ","14.46",,,
"Wieskirche ",,,,,,,,,,,"Y ","8.49 ",,"Y 10.21 ",,,,,,,,"13.30 ","14.57 ","15.00",,
"Rottenbuch Alte Post",,,,,,,,,,,,,,,,,,,,,,,,,,
"Echelsbacher Brücke an ","6.11 ",,,"6.31 ",,,,,,,,"8.59 ",,"10.33 ",,,,,,,,"13.45 ",,"15.12",,
"Anschlußhinweis",,,,,,,,,,,,,,,,,,,,,,,,,,
"Bus aus Schongau an ",,"6.18 ",,,"6.29 ",,"6.39 ",,,,,,"8.54 ","10.29 ",,"11.17 ",,,,,"13.35 ","13.35 ",,"S 14.59 ",,"F 16.25"
"Bus aus Weilheim an ",,,,,,,,,,,,,"8.59 ","10.26 ",,,,,,,"13.42 ","13.42",,,,
"Echelsbacher Brücke ab ",,"6.19 ",,,"6.36 ",,"6.42 ",,,,,,"9.00 ","10.35 ",,"11.20 ",,,,"13.30 ","13.43 ","13.50 ",,"15.12 ",,"16.33"
"Bayersoien-Echelsbach ",,"6.21 ",,,"6.37 ",,,,,,,,"9.01 ","10.36 ",,"11.21 ",,,,"13.31 ","13.44 ","13.51 ",,"15.13 ",,"16.34"
"Bayersoien-Gschwendt ",,"6.22 ",,,"6.38 ",,,,,,,,"9.02 ","10.37 ",,"11.22 ",,,,"13.32 ","13.45 ","13.52 ",,"15.14 ",,"16.35"
"Bad Bayersoien Gh. Weißes Roß ",,"6.24 ",,,"6.40 ",,,,,,,,"9.04 ","10.39 ",,"11.24 ",,,,"13.34 ","13.47 ","13.54 ",,"15.16 ",,"16.37"
"Bad Bayersoien Eisplatz ",,"6.26 ",,,"6.41 ",,"6.47 ",,,,,,"9.05 ","10.40 ",,"11.25 ",,,,"13.35 ","13.48 ","13.55 ",,"15.17 ",,"16.38"
"Saulgrub Rathaus ",,,,,,,,,,,,,"9.08 ","10.43 ",,"11.28 ",,,,,,"13.58 ",,,,"16.41"
"Bad Kohlgrub Feuerwehrhaus ",,,,,,,,,,,,,"9.09 ","10.44 ",,"11.29 ",,,,,,"13.59 ",,,,"16.42"
"Bad Kohlgrub Rathaus ",,,"6.34 ",,,,,,,,,,"9.12 ","10.47 ",,"11.32 ",,,,,,"14.02 ",,,,"16.45"
"Bad Kohlgrub Feuerwehrhaus ",,,"6.36 ",,,,,,,,,,"9.14 ","10.49 ",,"11.34 ",,,,,,"14.04 ",,,,"16.47"
"Saulgrub Rathaus ",,,"6.39 ",,,,,,,,,,"9.15 ","10.50 ",,"11.35 ",,,,,,"14.05 ",,,,"16.48"
"Saulgrub Bahnhof ",,"6.30 ","6.41 ",,"6.45 ",,,,,,,,"9.18 ","10.53 ",,"11.38 ",,,,"13.39 ","Y 13.52 ","14.08 ",,"15.22 ",,"16.51"
"Saulgrub Bürgersaal ",,,,,"6.46 ","6.48",,,,,,,,,,,,,,,,,,,,
"Altenau Abzw ",,"6.33 ",,,,"6.50 ",,,,,,,"9.20 ","10.55 ",,"11.40 ",,,,"13.41 ","Y 13.54 ","14.10 ",,"15.25 ",,"16.53"
"Altenau Säge ",,"Y 6.35 ","6.45 ",,,"6.52",,,,,,,,,,,,,,,,,,,,
"Wurmansau ",,"6.38 ","6.48 ",,,"6.55 ",,,,,,,"9.21 ","10.56 ",,"11.41 ",,,,"13.42 ","Y 13.55 ","14.11 ",,"15.26 ",,"16.54"
"Scherenau ",,"6.39 ","6.49 ",,,"6.56 ",,,,,,,"9.22 ","10.57 ",,"11.42 ",,,,"13.43 ","Y 13.56 ","14.12 ",,"15.27 ",,"16.55"
"Unterammergau Dorfstraße ",,"6.41 ",,,,"6.58 ",,,,,,,"9.24 ","10.59 ",,"11.44 ",,,,"13.45 ","Y 13.58 ","14.14 ",,"15.28 ",,"16.57"
"Unterammergau Rathaus ",,"6.44 ",,,,"6.59 ",,,,,,,"9.25 ","11.00 ",,"11.45 ",,,,"13.46 ","Y 13.59 ","14.15 ",,"15.30 ",,"16.58"
"Oberammergau Bahnhof an ",,"6.48 ",,,,"7.03 ",,,,,,,"9.29 ","11.04 ",,"11.49 ",,,,"13.50 ","Y 14.03 ","14.19 ",,"15.34 ",,"17.02"
