09180112;Bad Kohlgrub;;; ;;;;;
;;A;Österreich;96;30;66;40;56;X
;;A__00000;Österreich;96;30;66;40;56;X
;;ZZ;Übrige (Bundes)Länder;39;21;18;30;9;3
;;ZZ;BUNDESGEBIET;10.418;4.524;5.894;9.135;1.283;583
;;ZZ;INSGESAMT;10.520;4.557;5.963;9.176;1.344;585
;;ZZ;Darunter: EINPENDLER;4.478;1.983;2.495;4.148;330;296
;;ZZ;  davon: aus den ABL;4.305;1.901;2.404;4.036;269;290
;;ZZ; davon: aus den NBL;71;49;22;X;X;4
09180118;Grainau;;; ;;;;;
;;09180116;Farchant;19;9;10;X;X;X
;;09180117;Garmisch-Partenkirchen, Markt;238;120;118;201;37;21
;;09180118;Grainau;350;175;175;262;88;19
;;09180126;Oberau;13;5;8;X;X;X
;;09180;Übrige Gemeinden (Kreis);41;23;18;X;X;X
;;09180;Garmisch-Partenkirchen;661;332;329;531;130;43
;;091;Übrige Kreise (Regierungsbezirk);40;26;14;37;3;7
;;091;Oberbayern;701;358;343;568;133;50
;;09;Übrige Regierungsbezirke (Bundesland);9;6;3;X;X;X
;;09;Bayern;710;364;346;577;133;51
;;ZZ;Übrige (Bundes)Länder;27;17;10;17;10;X
;;ZZ;BUNDESGEBIET;730;378;352;593;137;52
;;ZZ;INSGESAMT;737;381;356;594;143;52
;;ZZ;Darunter: EINPENDLER;387;206;181;332;55;33
;;ZZ;  davon: aus den ABL;376;201;175;328;48;33
;;ZZ; davon: aus den NBL;4;X;X;X;X;X
09180119;Großweil;;; ;;;;;
;;09173142;Schlehdorf;12;9;3;X;X;X
;;09173;Übrige Gemeinden (Kreis);20;8;12;X;X;X
;;09173;Bad Tölz-Wolfratshausen;32;17;15;X;X;3
;;09180119;Großweil;51;26;25;48;3;X
;;09180124;Murnau a.Staffelsee, Markt;21;12;9;X;X;X
;;09180127;Ohlstadt;10;6;4;X;X;X
;;09180;Übrige Gemeinden (Kreis);41;33;8;38;3;3
;;09180;Garmisch-Partenkirchen;123;77;46;116;7;6
;;09187;Rosenheim;13;7;6;X;X;X
;;09190;Weilheim-Schongau;32;17;15;X;X;X
;;091;Übrige Kreise (Regierungsbezirk);X;X;X;X;X;X
;;091;Oberbayern;202;119;83;193;9;11
;;09;Übrige Regierungsbezirke (Bundesland);X;X;X;X;X;X
;;09;Bayern;204;120;84;195;9;11
;;ZZ;Übrige (Bundes)Länder;X;X;X;X;X;X
;;ZZ;BUNDESGEBIET;206;121;85;197;9;11
;;ZZ;INSGESAMT;206;121;85;197;9;11
;;ZZ;Darunter: EINPENDLER;155;95;60;149;6;9
;;ZZ;  davon: aus den ABL;154;94;60;148;6;9
;;ZZ; davon: aus den NBL;X;X;X;X;X;X
09180122;Krün;;; ;;;;;
;;05;Nordrhein-Westfalen;11;7;4;X;X;X
;;09180117;Garmisch-Partenkirchen, Markt;70;29;41;48;22;4
;;09180122;Krün;224;113;111;167;57;21
;;09180123;Mittenwald, Markt;177;69;108;135;42;31
;;09180136;Wallgau;56;21;35;49;7;5
;;09180;Übrige Gemeinden (Kreis);32;17;15;X;X;6
;;09180;Garmisch-Partenkirchen;559;249;310;429;130;67
;;091;Übrige Kreise (Regierungsbezirk);26;12;14;X;X;6
;;091;Oberbayern;585;261;324;454;131;73
;;09;Übrige Regierungsbezirke (Bundesland);14;6;8;X;X;X
;;09;Bayern;599;267;332;467;132;75
;;ZZ;Übrige (Bundes)Länder;23;11;12;19;4;5
;;ZZ;BUNDESGEBIET;625;283;342;492;133;80
;;ZZ;INSGESAMT;633;285;348;497;136;80
;;ZZ;Darunter: EINPENDLER;409;172;237;330;79;59
;;ZZ;  davon: aus den ABL;395;165;230;320;75;59
;;ZZ; davon: aus den NBL;6;X;X;X;X;X
09180123;Mittenwald, Markt;;; ;;;;;
;;09180116;Farchant;10;5;5;X;X;X
;;09180117;Garmisch-Partenkirchen, Markt;83;52;31;66;17;6
;;09180122;Krün;61;37;24;X;X;4
;;09180123;Mittenwald, Markt;1.193;542;651;1.070;123;57
;;09180136;Wallgau;47;25;22;X;X;3
;;09180;Übrige Gemeinden (Kreis);36;20;16;33;3;X
;;09180;Garmisch-Partenkirchen;1.430;681;749;1.283;147;72
;;09190;Weilheim-Schongau;10;7;3;X;X;X
;;091;Übrige Kreise (Regierungsbezirk);26;14;12;19;7;X
;;091;Oberbayern;1.466;702;764;1.312;154;73
;;097;Schwaben;10;X;X;X;X;X
;;09;Übrige Regierungsbezirke (Bundesland);6;X;X;X;X;X
;;09;Bayern;1.482;709;773;1.325;157;73
;;A;Österreich;36;18;18;15;21;X
;;A;Österreich;36;18;18;15;21;X
;;A;Österreich;36;18;18;15;21;X
;;A__00000;Österreich;36;18;18;15;21;X
;;ZZ;Übrige (Bundes)Länder;18;7;11;13;5;X
;;ZZ;BUNDESGEBIET;1.498;715;783;1.338;160;74
;;ZZ;INSGESAMT;1.536;734;802;1.353;183;75
;;ZZ;Darunter: EINPENDLER;343;192;151;283;60;18
;;ZZ;  davon: aus den ABL;295;169;126;259;36;17
;;ZZ; davon: aus den NBL;10;4;6;X;X;X
09180124;Murnau a.Staffelsee, Markt;;; ;;;;;
;;05;Nordrhein-Westfalen;12;8;4;X;X;X
;;08;Baden-Württemberg;11;5;6;X;X;X
;;09162000;München, Landeshauptstadt;92;42;50;81;11;X
;;09162;München, Landeshauptstadt;92;42;50;81;11;X
;;09173112;Bad Tölz, Stadt;15;4;11;X;X;X
;;09173113;Benediktbeuern;17;6;11;X;X;X
;;09173126;Geretsried, Stadt;12;4;8;9;3;X
;;09173133;Kochel a.See;47;17;30;X;X;X
;;09173142;Schlehdorf;41;11;30;X;X;4
;;09173;Übrige Gemeinden (Kreis);63;24;39;X;X;X
