;;02000;Hamburg, Freie und Hansestadt;12;3;9;X;X;X
;;020;Hamburg;12;3;9;X;X;X
;;02;Hamburg;12;3;9;X;X;X
;;03;Niedersachsen;14;X;X;10;4;X
;;051;Reg.-Bez. Düsseldorf;27;16;11;X;X;X
;;053;Reg.-Bez. Köln;20;9;11;15;5;X
;;05;Übrige Regierungsbezirke (Bundesland);14;9;5;X;X;X
;;05;Nordrhein-Westfalen;61;34;27;56;5;X
;;06412000;Frankfurt am Main, Stadt;19;9;10;X;X;X
;;06412;Frankfurt am Main, Stadt;19;9;10;X;X;X
;;06435007;Erlensee, Stadt;57;51;6;43;14;X
;;06435;Main-Kinzig-Kreis;57;51;6;43;14;X
;;064;Übrige Kreise (Regierungsbezirk);19;16;3;16;3;X
;;064;Reg.-Bez. Darmstadt;95;76;19;76;19;X
;;06;Übrige Regierungsbezirke (Bundesland);5;X;X;X;X;X
;;06;Hessen;100;80;20;80;20;X
;;070;Rheinland-Pfalz;18;9;9;15;3;X
;;07;Rheinland-Pfalz;18;9;9;15;3;X
;;081;Reg.-Bez. Stuttgart;23;18;5;20;3;X
;;084;Reg.-Bez. Tübingen;20;13;7;14;6;X
;;08;Übrige Regierungsbezirke (Bundesland);18;10;8;15;3;X
;;08;Baden-Württemberg;61;41;20;49;12;X
;;09162000;München, Landeshauptstadt;461;240;221;420;41;16
;;09162;München, Landeshauptstadt;461;240;221;420;41;16
;;09173112;Bad Tölz, Stadt;19;11;8;X;X;X
;;09173126;Geretsried, Stadt;11;8;3;8;3;X
;;09173133;Kochel a.See;15;9;6;X;X;X
;;09173147;Wolfratshausen, Stadt;23;12;11;X;X;X
;;09173;Übrige Gemeinden (Kreis);14;10;4;X;X;X
;;09173;Bad Tölz-Wolfratshausen;82;50;32;76;6;X
;;09178124;Freising, Stadt;28;14;14;25;3;X
;;09178;Übrige Gemeinden (Kreis);9;X;X;X;X;X
;;09178;Freising;37;21;16;32;5;X
;;09179;Fürstenfeldbruck;12;7;5;X;X;X
;;09180114;Eschenlohe;52;34;18;43;9;3
;;09180115;Ettal;27;11;16;23;4;X
;;09180116;Farchant;212;114;98;185;27;22
;;09180117;Garmisch-Partenkirchen, Markt;6.042;2.574;3.468;5.028;1.014;289
;;09180118;Grainau;238;120;118;201;37;21
;;09180122;Krün;70;29;41;48;22;4
;;09180123;Mittenwald, Markt;83;52;31;66;17;6
;;09180124;Murnau a.Staffelsee, Markt;267;173;94;215;52;13
;;09180125;Oberammergau;88;43;45;77;11;6
;;09180126;Oberau;138;96;42;115;23;5
;;09180127;Ohlstadt;20;11;9;X;X;3
;;09180135;Unterammergau;15;7;8;X;X;X
;;09180136;Wallgau;16;4;12;X;X;X
;;09180;Übrige Gemeinden (Kreis);30;16;14;26;4;X
;;09180;Garmisch-Partenkirchen;7.298;3.284;4.014;6.075;1.223;373
;;09182;Miesbach;12;7;5;X;X;X
